Date,Open,High,Low,Close,AdjClose,Volume
6/23/2015,31.870001,31.9025,31.719999,31.7575,28.949415,121075600
6/24/2015,31.8025,32.450001,31.780001,32.0275,29.195543,221123600
6/25/2015,32.215,32.299999,31.875,31.875,29.056528,127752400
6/26/2015,31.9175,31.997499,31.627501,31.6875,28.885611,176267200
6/29/2015,31.365,31.6175,31.120001,31.1325,28.379679,196645600
6/30/2015,31.3925,31.530001,31.215,31.3575,28.584785,177482800
7/1/2015,31.725,31.735001,31.497499,31.65,28.851418,120955200
7/2/2015,31.6075,31.672501,31.442499,31.610001,28.81496,108844000
7/6/2015,31.235001,31.557501,31.2125,31.5,28.714689,112241600
7/7/2015,31.4725,31.5375,30.942499,31.422501,28.644043,187787200
7/8/2015,31.120001,31.16,30.635,30.6425,27.933008,243046400
7/9/2015,30.9625,31.014999,29.805,30.0175,27.36327,314380000
7/10/2015,30.485001,30.9625,30.3025,30.82,28.094814,245418000
7/13/2015,31.2575,31.440001,31.08,31.415001,28.637203,165762000
7/14/2015,31.51,31.592501,31.26,31.4025,28.625811,127072400
7/15/2015,31.43,31.7875,31.395,31.705,28.901564,134596800
7/16/2015,31.934999,32.142502,31.8375,32.127499,29.286699,144889600
7/17/2015,32.27,32.404999,32.077499,32.404999,29.539665,184658800
7/20/2015,32.7425,33.2425,32.674999,33.017502,30.098013,235600800
7/21/2015,33.212502,33.23,32.580002,32.6875,29.797188,307025600
7/22/2015,30.497499,31.375,30.497499,31.305,28.536932,461802400
7/23/2015,31.549999,31.772499,31.264999,31.290001,28.523254,203998000
7/24/2015,31.33,31.434999,30.975,31.125,28.372843,168649200
7/27/2015,30.772499,30.9025,30.530001,30.692499,27.97859,177822000
7/28/2015,30.844999,30.977501,30.637501,30.844999,28.117601,134472400
7/29/2015,30.7875,30.875,30.567499,30.747499,28.028721,148046800
7/30/2015,30.58,30.6425,30.4275,30.592501,27.887434,134513200
7/31/2015,30.65,30.66,30.227501,30.325001,27.643585,171540000
8/3/2015,30.375,30.6425,29.379999,29.610001,26.991802,279904000
8/4/2015,29.355,29.424999,28.3125,28.66,26.125809,496554400
8/5/2015,28.237499,29.360001,28.025,28.85,26.299011,397250400
8/6/2015,28.9925,29.125,28.530001,28.782499,26.356237,211612000
8/7/2015,28.645,29.0625,28.625,28.879999,26.445518,154681600
8/10/2015,29.1325,29.997499,29.1325,29.93,27.407013,219806400
8/11/2015,29.452499,29.545,28.3325,28.372499,25.980801,388331200
8/12/2015,28.1325,28.855,27.407499,28.809999,26.381416,404870000
8/13/2015,29.01,29.1,28.635,28.7875,26.360815,194143200
8/14/2015,28.58,29.077499,28.502501,28.99,26.546246,171718000
8/17/2015,29.01,29.4125,28.875,29.290001,26.820957,163538800
8/18/2015,29.1075,29.360001,29.002501,29.125,26.669868,138242800
8/19/2015,29.025,29.129999,28.67,28.752501,26.328764,193146000
8/20/2015,28.52,28.5875,27.907499,28.1625,25.788504,274006400
8/21/2015,27.6075,27.975,26.4125,26.440001,24.211199,513102000
8/24/2015,23.717501,27.200001,23,25.780001,23.60684,648825200
8/25/2015,27.7775,27.7775,25.875,25.934999,23.748774,414406400
8/26/2015,26.772499,27.4725,26.262501,27.422501,25.110888,387098400
8/27/2015,28.057501,28.309999,27.504999,28.23,25.850309,338464400
8/28/2015,28.0425,28.327499,27.885,28.3225,25.935013,212657600
8/31/2015,28.0075,28.6325,28,28.190001,25.813683,224917200
9/1/2015,27.5375,27.969999,26.84,26.93,24.659901,307383600
9/2/2015,27.557501,28.084999,27.282499,28.084999,25.717533,247555200
9/3/2015,28.122499,28.195,27.51,27.592501,25.266552,212935600
9/4/2015,27.2425,27.612499,27.127501,27.317499,25.014734,199985200
9/8/2015,27.9375,28.139999,27.58,28.077499,25.710667,219374400
9/9/2015,28.440001,28.504999,27.442499,27.5375,25.216188,340043200
9/10/2015,27.567499,28.32,27.475,28.1425,25.770187,251571200
9/11/2015,27.9475,28.5525,27.940001,28.5525,26.145626,199662000
9/14/2015,29.145,29.2225,28.715,28.827499,26.397446,233453600
